concept,parent,val,val2
Marketing 4C ,NA,1,TRUE
Customer Solutiuon,Marketing 4C ,2,TRUE
Communication,Marketing 4C ,3,TRUE
Customer Cost,Marketing 4C ,4,TRUE
Convenience,Marketing 4C ,5,TRUE
Brand Image,Customer Solutiuon,6,FALSE
Product Features,Customer Solutiuon,7,TRUE
Services,Customer Solutiuon,8,TRUE
Sales Promotion,Communication,9,TRUE
Advertising,Communication,10,TRUE
Public Relation,Communication,11,FALSE
List Price,Customer Cost,12,FALSE
Discounts ,Customer Cost,13,TRUE
Payment,Customer Cost,14,TRUE
Coverage,Convenience,15,FALSE
Inventory,Convenience,16,TRUE
Trasport,Convenience,17,TRUE
Channel,Convenience,18,FALSE
