No.,Week,Date,Company,Product,Social Sentiment,Channel,Buzz Quantity,4C Level 1,4C Level 2,Top 5 Keyword,Knowledge,Export Report
1,2015/32,2015-08-01,Simense,Drum,Positive,all,123,Customer Solutiuon,Product Features,"A, B, C, D, E",,▶
2,2015/33,2015-08-08,Simense,Bolon,Negative,bbs,323,Customer Solutiuon,Services,"F, G, H, I, J",,▶
3,2015/34,2015-08-15,Galanz,Drum,Positive,blog,534,Communication,Sales Promotion,"K, L, M, N, O",,▶
4,2015/35,2015-08-22,Galanz,Bolon,Positive,community,563,Communication,Advertising,"P, Q, R, S, T",,▶
5,2015/36,2015-08-29,LG,Drum,Negative,news,123,Customer Cost,List Price,"U, V, W, X, Y",,▶
6,2015/37,2015-09-05,LG,Bolon,Negative,wiki,97,Customer Cost,Payment,"A, B, C, D, E",,▶
7,2015/38,2015-09-12,Haier,Drum,Positive,weibo,23,Convenience,Inventory,"F, G, H, I, J",,▶
8,2015/39,2015-09-17,all,Bolon,Negative,others,821,Convenience,Trasport,"K, L, M, N, O",,▶
9,2015/40,2015-09-24,Hisense,Bolon,Negative,wiki,942,Convenience,Trasport,"U, V, W, X, Y",,▶
10,2015/41,2015-10-01,Sanyo,Drum,Positive,blog,623,Convenience,Trasport,"F, G, H, I, J",,▶
